Cut,Alba 
Deal,Alba 
Cricau,Alba 
Craiva,Alba 
Tibru,Alba 
Craciunelu de Jos,Alba 
Bucerdea Granoasa,Alba 
Cornu,Alba 
Padure,Alba 
Panca,Alba 
Daia Romana,Alba 
Dostat,Alba 
Boz,Alba 
Dealu Dostatului,Alba 
Farau,Alba 
Heria,Alba 
Medves,Alba 
Sanbenedic,Alba 
Silea,Alba 
Galda de Jos,Alba 
Benic,Alba 
Cetea,Alba 
Galda de Sus,Alba 
Lupseni,Alba 
Magura,Alba 
Mesentea,Alba 
Oiejdea,Alba 
Poiana Galdei,Alba 
Raicani,Alba 
Zagris,Alba 
Garbova,Alba 
Carpinis,Alba 
Reciu,Alba 
Garda de Sus,Alba 
Biharia,Alba 
Dealu Frumos,Alba 
Dealu Ordancusii,Alba 
Dobresti,Alba 
Ghetari,Alba 
Garda Seaca,Alba 
Hanasesti,Alba 
Huzaresti,Alba 
Izvoarele,Alba 
Mununa,Alba 
Ocoale,Alba 
Plai,Alba 
Plisti,Alba 
Scoarta,Alba 
Sucesti,Alba 
Snide,Alba 
Hoparta,Alba 
Silivas,Alba 
Spalnaca,Alba 
Turdas,Alba 
Vama Seaca,Alba 
Horea,Alba 
Baba,Alba 
Butesti,Alba 
Darlesti,Alba 
Fericet,Alba 
Giurgiut,Alba 
Mancesti,Alba 
Matisesti,Alba 
Niculesti,Alba 
Patrusesti,Alba 
Petreasa,Alba 
Preluca,Alba 
Teiu,Alba 
Trifesti,Alba 
Zanzesti,Alba 
Ighiu,Alba 
Bucerdea Vanoasa,Alba 
Ighiel,Alba 
Sard,Alba 
Telna,Alba 
Intregalde,Alba 
Dealu Geoagiului,Alba 
Ghioncani,Alba 
Iliesti,Alba 
Ivanis,Alba 
Marinesti,Alba 
Modolesti,Alba 
Necrilesti,Alba 
Popesti,Alba 
Sfarcea,Alba 
Tecsesti,Alba 
Jidvei,Alba 
Balcaciu,Alba 
Capalna de Jos,Alba 
Feisa,Alba 
Veseus,Alba 
Livezile,Alba 
Izvoarele,Alba 
Poiana Aiudului,Alba 
Valisoara,Alba 
Lopadea Noua,Alba 
Asinip,Alba 
Beta,Alba 
Bagau,Alba 
Cicard,Alba 
Ciuguzel,Alba 
Ocnisoara,Alba 
Odverem,Alba 
Lunca Muresului,Alba 
Gura Ariesului,Alba 
